Time,Temperature  (*C),Temperature  (*F),A-D  (1-255)
10/5/95 11:36,52.3,126.2,127
10/5/95 11:37,52.3,126.2,127
10/5/95 11:38,52.3,126.2,127
10/5/95 11:38,52.3,126.2,127
10/5/95 11:39,52.3,126.2,127
10/5/95 11:40,52.3,126.2,127
10/5/95 11:40,52.3,126.2,127
10/5/95 11:41,52.3,126.2,127
10/5/95 11:42,52.3,126.2,127
10/5/95 11:42,52.3,126.2,127
10/5/95 11:43,52.3,126.2,127
10/5/95 11:44,52.3,126.2,127
10/5/95 11:44,52.3,126.2,127
10/5/95 11:45,52.3,126.2,127
10/5/95 11:46,52.3,126.2,127
10/5/95 11:46,52.3,126.2,127
10/5/95 11:47,52.3,126.2,127
10/5/95 11:48,52.3,126.2,127
10/5/95 11:48,52.3,126.2,127
10/5/95 11:49,52.3,126.2,127
10/5/95 11:50,52.3,126.2,127
10/5/95 11:50,52.3,126.2,127
10/5/95 11:51,52.3,126.2,127
10/5/95 11:52,52.3,126.2,127
10/5/95 11:52,52.3,126.2,127
10/5/95 11:53,52.3,126.2,127
10/5/95 11:54,52.3,126.2,127
10/5/95 11:54,52.3,126.2,127
10/5/95 11:55,52.3,126.2,127
10/5/95 11:56,52.3,126.2,127
10/5/95 11:56,52.3,126.2,127
10/5/95 11:57,52.3,126.2,127
10/5/95 11:58,52.3,126.2,127
10/5/95 11:58,52.3,126.2,127
10/5/95 11:59,52.3,126.2,127
10/5/95 12:00,52.3,126.2,127
10/5/95 12:00,52.3,126.2,127
10/5/95 12:01,52.3,126.2,127
10/5/95 12:02,52.3,126.2,127
10/5/95 12:02,52.3,126.2,127
10/5/95 12:03,52.3,126.2,127
10/5/95 12:04,52.3,126.2,127
10/5/95 12:04,52.3,126.2,127
10/5/95 12:05,52.3,126.2,127
10/5/95 12:06,52.3,126.2,127
10/5/95 12:06,52.3,126.2,127
10/5/95 12:07,52.3,126.2,127
10/5/95 12:08,52.3,126.2,127
10/5/95 12:08,52.3,126.2,127
10/5/95 12:09,52.3,126.2,127
10/5/95 12:10,52.3,126.2,127
10/5/95 12:10,52.3,126.2,127
10/5/95 12:11,52.3,126.2,127
10/5/95 12:12,52.3,126.2,127
10/5/95 12:12,52.3,126.2,127
10/5/95 12:13,52.3,126.2,127
10/5/95 12:14,52.3,126.2,127
10/5/95 12:14,52.3,126.2,127
10/5/95 12:15,52.3,126.2,127
10/5/95 12:16,52.3,126.2,127
10/5/95 12:16,52.3,126.2,127
10/5/95 12:17,52.3,126.2,127
10/5/95 12:18,52.3,126.2,127
10/5/95 12:18,52.3,126.2,127
10/5/95 12:19,52.3,126.2,127
10/5/95 12:20,52.3,126.2,127
10/5/95 12:20,52.3,126.2,127
10/5/95 12:21,52.3,126.2,127
10/5/95 12:22,52.3,126.2,127
10/5/95 12:22,52.3,126.2,127
10/5/95 12:23,52.3,126.2,127
10/5/95 12:24,52.3,126.2,127
